site,lat,lon,area,YYYY,MONTH,SSTmonthly
Aodi,25.053838,121.930807,New Taipei,2010,7,27.8199993781745
Aodi,25.053838,121.930807,New Taipei,2013,5,24.6099994499236
Aodi,25.053838,121.930807,New Taipei,2018,10,25.6299994271249
Aodi,25.053838,121.930807,New Taipei,2018,8,29.0499993506819
Aodi,25.053838,121.930807,New Taipei,2015,8,27.5099993851036
Aodi,25.053838,121.930807,New Taipei,2015,10,24.8999994434416
Aodi,25.053838,121.930807,New Taipei,2000,3,22.4599994979799
Aodi,25.053838,121.930807,New Taipei,2000,1,21.8499995116144
Aodi,25.053838,121.930807,New Taipei,2012,2,21.4299995210022
Aodi,25.053838,121.930807,New Taipei,2019,4,23.5899994727224
Aodi,25.053838,121.930807,New Taipei,2017,5,24.7699994463474
Aodi,25.053838,121.930807,New Taipei,2003,9,27.829999377951
Aodi,25.053838,121.930807,New Taipei,2019,8,28.4699993636459
Aodi,25.053838,121.930807,New Taipei,2016,8,28.9299993533641
Aodi,25.053838,121.930807,New Taipei,2014,11,23.3699994776398
Aodi,25.053838,121.930807,New Taipei,2017,4,22.8399994894862
Aodi,25.053838,121.930807,New Taipei,2005,5,25.3199994340539
Aodi,25.053838,121.930807,New Taipei,2007,10,25.0599994398654
Aodi,25.053838,121.930807,New Taipei,2016,10,25.9999994188547
Aodi,25.053838,121.930807,New Taipei,2003,2,20.7299995366484
Aodi,25.053838,121.930807,New Taipei,2018,4,23.3799994774163
Aodi,25.053838,121.930807,New Taipei,2020,8,29.1399993486702
Aodi,25.053838,121.930807,New Taipei,2015,5,25.1399994380772
Aodi,25.053838,121.930807,New Taipei,2007,8,28.3099993672222
Aodi,25.053838,121.930807,New Taipei,2014,10,25.279999434948
Aodi,25.053838,121.930807,New Taipei,2020,2,21.4199995212257
Aodi,25.053838,121.930807,New Taipei,2007,6,27.4199993871152
Aodi,25.053838,121.930807,New Taipei,2004,6,26.5099994074553
Aodi,25.053838,121.930807,New Taipei,2020,4,22.6999994926155
Aodi,25.053838,121.930807,New Taipei,2015,11,23.7699994686991
Aodi,25.053838,121.930807,New Taipei,2013,11,23.53999947384
Aodi,25.053838,121.930807,New Taipei,2016,11,24.5499994512647
Aodi,25.053838,121.930807,New Taipei,2010,11,23.8999994657934
Aodi,25.053838,121.930807,New Taipei,2005,2,20.9399995319545
Aodi,25.053838,121.930807,New Taipei,2003,1,21.3899995218962
Aodi,25.053838,121.930807,New Taipei,2008,6,27.0499993953854
Aodi,25.053838,121.930807,New Taipei,2000,9,26.5599994063377
Aodi,25.053838,121.930807,New Taipei,2011,11,23.519999474287
Aodi,25.053838,121.930807,New Taipei,2003,6,25.9299994204193
Aodi,25.053838,121.930807,New Taipei,2004,2,21.3199995234609
Aodi,25.053838,121.930807,New Taipei,2002,6,26.6099994052202
Aodi,25.053838,121.930807,New Taipei,2005,6,26.3099994119257
Aodi,25.053838,121.930807,New Taipei,2006,6,26.7499994020909
Baiyu,25.0608333,121.088611,Taoyuan,2016,7,29.4799993410707
Baiyu,25.0608333,121.088611,Taoyuan,2009,12,20.0599995516241
Baiyu,25.0608333,121.088611,Taoyuan,2002,7,28.139999371022
Baiyu,25.0608333,121.088611,Taoyuan,2003,5,25.8299994226545
Baiyu,25.0608333,121.088611,Taoyuan,2007,12,19.6099995616823
Baiyu,25.0608333,121.088611,Taoyuan,2017,7,29.87999933213
Baiyu,25.0608333,121.088611,Taoyuan,2015,7,28.699999358505
Baiyu,25.0608333,121.088611,Taoyuan,2000,5,25.5899994280189
Baiyu,25.0608333,121.088611,Taoyuan,2018,7,29.009999351576
Baiyu,25.0608333,121.088611,Taoyuan,2014,7,29.5599993392825
Baiyu,25.0608333,121.088611,Taoyuan,2004,9,28.0799993723631
Baiyu,25.0608333,121.088611,Taoyuan,2001,5,25.1899994369596
Baiyu,25.0608333,121.088611,Taoyuan,2004,5,26.5699994061142
Baiyu,25.0608333,121.088611,Taoyuan,2008,12,20.1499995496124
Baiyu,25.0608333,121.088611,Taoyuan,2005,4,23.7799994684756
Baiyu,25.0608333,121.088611,Taoyuan,2003,10,25.8299994226545
Baiyu,25.0608333,121.088611,Taoyuan,2017,5,25.9999994188547
Baiyu,25.0608333,121.088611,Taoyuan,2003,7,28.9399993531406
Baiyu,25.0608333,121.088611,Taoyuan,2012,10,24.969999441877
Baiyu,25.0608333,121.088611,Taoyuan,2010,12,20.1599995493889
Baiyu,25.0608333,121.088611,Taoyuan,2016,12,21.4699995201081
Baiyu,25.0608333,121.088611,Taoyuan,2009,8,28.5899993609637
Baiyu,25.0608333,121.088611,Taoyuan,2015,9,27.539999384433
Baiyu,25.0608333,121.088611,Taoyuan,2006,4,24.3599994555116
Baiyu,25.0608333,121.088611,Taoyuan,2002,5,25.7099994253367
Baiyu,25.0608333,121.088611,Taoyuan,2010,4,22.5099994968623
Baiyu,25.0608333,121.088611,Taoyuan,2016,6,28.8799993544817
Baiyu,25.0608333,121.088611,Taoyuan,2001,10,25.1299994383007
